date,lead_id,status,deal_amount,marketing_spend,lead_source
2025-01-03,LEAD-1001,Closed Won,3500,1500,Inbound
2025-01-06,LEAD-1002,Closed Lost,0,1500,Referral
2025-01-09,LEAD-1003,Qualified,3800,1500,Outbound
2025-01-12,LEAD-1004,Closed Won,5450,1500,Partner
2025-01-15,LEAD-1005,Proposal Sent,6400,1500,Event
2025-01-18,LEAD-1006,Closed Lost,0,1500,Inbound
2025-01-21,LEAD-1007,Closed Won,7400,1500,Referral
2025-01-24,LEAD-1008,Qualified,6300,1500,Outbound
2025-02-03,LEAD-1009,Closed Won,3850,1200,Referral
2025-02-06,LEAD-1010,Closed Lost,0,1200,Outbound
2025-02-09,LEAD-1011,Qualified,4100,1200,Partner
2025-02-12,LEAD-1012,Closed Won,5800,1200,Event
2025-02-15,LEAD-1013,Proposal Sent,6720,1200,Inbound
2025-02-18,LEAD-1014,Closed Lost,0,1200,Referral
2025-02-21,LEAD-1015,Closed Won,7750,1200,Outbound
2025-02-24,LEAD-1016,Qualified,6600,1200,Partner
2025-03-03,LEAD-1017,Closed Won,4200,1800,Outbound
2025-03-06,LEAD-1018,Closed Lost,0,1800,Partner
2025-03-09,LEAD-1019,Qualified,4400,1800,Event
2025-03-12,LEAD-1020,Closed Won,6150,1800,Inbound
2025-03-15,LEAD-1021,Proposal Sent,7040,1800,Referral
2025-03-18,LEAD-1022,Closed Lost,0,1800,Outbound
2025-03-21,LEAD-1023,Closed Won,8100,1800,Partner
2025-03-24,LEAD-1024,Qualified,6900,1800,Event
2025-04-03,LEAD-1025,Closed Won,4550,1600,Partner
2025-04-06,LEAD-1026,Closed Lost,0,1600,Event
2025-04-09,LEAD-1027,Qualified,4700,1600,Inbound
2025-04-12,LEAD-1028,Closed Won,6500,1600,Referral
2025-04-15,LEAD-1029,Proposal Sent,7360,1600,Outbound
2025-04-18,LEAD-1030,Closed Lost,0,1600,Partner
2025-04-21,LEAD-1031,Closed Won,8450,1600,Event
2025-04-24,LEAD-1032,Qualified,7200,1600,Inbound
2025-05-03,LEAD-1033,Closed Won,4900,1400,Event
2025-05-06,LEAD-1034,Closed Lost,0,1400,Inbound
2025-05-09,LEAD-1035,Qualified,5000,1400,Referral
2025-05-12,LEAD-1036,Closed Won,6850,1400,Outbound
2025-05-15,LEAD-1037,Proposal Sent,7680,1400,Partner
2025-05-18,LEAD-1038,Closed Lost,0,1400,Event
2025-05-21,LEAD-1039,Closed Won,8800,1400,Inbound
2025-05-24,LEAD-1040,Qualified,7500,1400,Referral
2025-06-03,LEAD-1041,Closed Won,5250,2000,Inbound
2025-06-06,LEAD-1042,Closed Lost,0,2000,Referral
2025-06-09,LEAD-1043,Qualified,5300,2000,Outbound
2025-06-12,LEAD-1044,Closed Won,7200,2000,Partner
2025-06-15,LEAD-1045,Proposal Sent,8000,2000,Event
2025-06-18,LEAD-1046,Closed Lost,0,2000,Inbound
2025-06-21,LEAD-1047,Closed Won,9150,2000,Referral
2025-06-24,LEAD-1048,Qualified,7800,2000,Outbound
2025-07-03,LEAD-1049,Closed Won,5600,1700,Referral
2025-07-06,LEAD-1050,Closed Lost,0,1700,Outbound
2025-07-09,LEAD-1051,Qualified,5600,1700,Partner
2025-07-12,LEAD-1052,Closed Won,7550,1700,Event
2025-07-15,LEAD-1053,Proposal Sent,8320,1700,Inbound
2025-07-18,LEAD-1054,Closed Lost,0,1700,Referral
2025-07-21,LEAD-1055,Closed Won,9500,1700,Outbound
2025-07-24,LEAD-1056,Qualified,8100,1700,Partner
2025-08-03,LEAD-1057,Closed Won,5950,1900,Outbound
2025-08-06,LEAD-1058,Closed Lost,0,1900,Partner
2025-08-09,LEAD-1059,Qualified,5900,1900,Event
2025-08-12,LEAD-1060,Closed Won,7900,1900,Inbound
2025-08-15,LEAD-1061,Proposal Sent,8640,1900,Referral
2025-08-18,LEAD-1062,Closed Lost,0,1900,Outbound
2025-08-21,LEAD-1063,Closed Won,9850,1900,Partner
2025-08-24,LEAD-1064,Qualified,8400,1900,Event
2025-09-03,LEAD-1065,Closed Won,6300,1500,Partner
2025-09-06,LEAD-1066,Closed Lost,0,1500,Event
2025-09-09,LEAD-1067,Qualified,6200,1500,Inbound
2025-09-12,LEAD-1068,Closed Won,8250,1500,Referral
2025-09-15,LEAD-1069,Proposal Sent,8960,1500,Outbound
2025-09-18,LEAD-1070,Closed Lost,0,1500,Partner
2025-09-21,LEAD-1071,Closed Won,10200,1500,Event
2025-09-24,LEAD-1072,Qualified,8700,1500,Inbound
2025-10-03,LEAD-1073,Closed Won,6650,2200,Event
2025-10-06,LEAD-1074,Closed Lost,0,2200,Inbound
2025-10-09,LEAD-1075,Qualified,6500,2200,Referral
2025-10-12,LEAD-1076,Closed Won,8600,2200,Outbound
2025-10-15,LEAD-1077,Proposal Sent,9280,2200,Partner
2025-10-18,LEAD-1078,Closed Lost,0,2200,Event
2025-10-21,LEAD-1079,Closed Won,10550,2200,Inbound
2025-10-24,LEAD-1080,Qualified,9000,2200,Referral
2025-11-03,LEAD-1081,Closed Won,7000,2100,Inbound
2025-11-06,LEAD-1082,Closed Lost,0,2100,Referral
2025-11-09,LEAD-1083,Qualified,6800,2100,Outbound
2025-11-12,LEAD-1084,Closed Won,8950,2100,Partner
2025-11-15,LEAD-1085,Proposal Sent,9600,2100,Event
2025-11-18,LEAD-1086,Closed Lost,0,2100,Inbound
2025-11-21,LEAD-1087,Closed Won,10900,2100,Referral
2025-11-24,LEAD-1088,Qualified,9300,2100,Outbound
2025-12-03,LEAD-1089,Closed Won,7350,2500,Referral
2025-12-06,LEAD-1090,Closed Lost,0,2500,Outbound
2025-12-09,LEAD-1091,Qualified,7100,2500,Partner
2025-12-12,LEAD-1092,Closed Won,9300,2500,Event
2025-12-15,LEAD-1093,Proposal Sent,9920,2500,Inbound
2025-12-18,LEAD-1094,Closed Lost,0,2500,Referral
2025-12-21,LEAD-1095,Closed Won,11250,2500,Outbound
2025-12-24,LEAD-1096,Qualified,9600,2500,Partner
2026-01-03,LEAD-1097,Closed Won,7700,2300,Outbound
2026-01-06,LEAD-1098,Closed Lost,0,2300,Partner
2026-01-09,LEAD-1099,Qualified,7400,2300,Event
2026-01-12,LEAD-1100,Closed Won,9650,2300,Inbound
2026-01-15,LEAD-1101,Proposal Sent,10240,2300,Referral
2026-01-18,LEAD-1102,Closed Lost,0,2300,Outbound
2026-01-21,LEAD-1103,Closed Won,11600,2300,Partner
2026-01-24,LEAD-1104,Qualified,9900,2300,Event
2026-02-03,LEAD-1105,Closed Won,8050,1900,Partner
2026-02-06,LEAD-1106,Closed Lost,0,1900,Event
2026-02-09,LEAD-1107,Qualified,7700,1900,Inbound
2026-02-12,LEAD-1108,Closed Won,10000,1900,Referral
2026-02-15,LEAD-1109,Proposal Sent,10560,1900,Outbound
2026-02-18,LEAD-1110,Closed Lost,0,1900,Partner
2026-02-21,LEAD-1111,Closed Won,11950,1900,Event
2026-02-24,LEAD-1112,Qualified,10200,1900,Inbound
2026-03-03,LEAD-1113,Closed Won,8400,2600,Event
2026-03-06,LEAD-1114,Closed Lost,0,2600,Inbound
2026-03-09,LEAD-1115,Qualified,8000,2600,Referral
2026-03-12,LEAD-1116,Closed Won,10350,2600,Outbound
2026-03-15,LEAD-1117,Proposal Sent,10880,2600,Partner
2026-03-18,LEAD-1118,Closed Lost,0,2600,Event
2026-03-21,LEAD-1119,Closed Won,12300,2600,Inbound
2026-03-24,LEAD-1120,Qualified,10500,2600,Referral
2026-04-03,LEAD-1121,Closed Won,8750,2400,Inbound
2026-04-06,LEAD-1122,Closed Lost,0,2400,Referral
2026-04-09,LEAD-1123,Qualified,8300,2400,Outbound
2026-04-12,LEAD-1124,Closed Won,10700,2400,Partner
2026-04-15,LEAD-1125,Proposal Sent,11200,2400,Event
2026-04-18,LEAD-1126,Closed Lost,0,2400,Inbound
2026-04-21,LEAD-1127,Closed Won,12650,2400,Referral
2026-04-24,LEAD-1128,Qualified,10800,2400,Outbound
2026-05-03,LEAD-1129,Closed Won,9100,2100,Referral
2026-05-06,LEAD-1130,Closed Lost,0,2100,Outbound
2026-05-09,LEAD-1131,Qualified,8600,2100,Partner
2026-05-12,LEAD-1132,Closed Won,11050,2100,Event
2026-05-15,LEAD-1133,Proposal Sent,11520,2100,Inbound
2026-05-18,LEAD-1134,Closed Lost,0,2100,Referral
2026-05-21,LEAD-1135,Closed Won,13000,2100,Outbound
2026-05-24,LEAD-1136,Qualified,11100,2100,Partner
2026-06-03,LEAD-1137,Closed Won,9450,2800,Outbound
2026-06-06,LEAD-1138,Closed Lost,0,2800,Partner
2026-06-09,LEAD-1139,Qualified,8900,2800,Event
